"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Bundesland";"Postleitzahl";"Ort";"Straße";"Hausnummer";"Gemarkung";"Flurstück";"Gemeindeschlüssel";"Koordinate: Breitengrad (WGS84)";"Koordinate: Längengrad (WGS84)";"Anzahl der Solar-Module";"Hauptausrichtung der Solar-Module";"Name des Windparks";"Nabenhöhe der Windenergieanlage";"Rotordurchmesser der Windenergieanlage";"Hersteller der Windenergieanlage";"Typenbezeichnung";"Hauptbrennstoff der Einheit";"Nutzbare Speicherkapazität in kWh";"Technologie der Stromerzeugung";"Lage der Einheit";"Letzte Aktualisierung";"Datum der endgültigen Stilllegung";"Datum der geplanten Inbetriebnahme";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Volleinspeisung oder Teileinspeisung";"MaStR-Nr. der Genehmigung";"Name des Anschluss-Netzbetreibers";"MaStR-Nr. des Anschluss-Netzbetreibers";"Netzbetreiberprüfung";"Spannungsebene";"MaStR-Nr. der Lokation";"MaStR-Nr. der EEG-Anlage";"EEG-Anlagenschlüssel";"Inbetriebnahmedatum der EEG-Anlage";"Zuschlagnummer (EEG/KWK-Ausschreibung)";"MaStR-Nr. der KWK-Anlage";"Inbetriebnahmedatum der KWK-Anlage";"Elektrische KWK-Leistung";"Thermische Nutzleistung in kW";"MaStR-Nr. der zugeordneten Migrationseinheit"
"SEE933250137830";"G 8367-02";"In Betrieb";"Wind";"850";"850";"27.1.2006";"28.4.2020";"Sachsen-Anhalt";"39264";"Straguth";"";"";"Straguth";"Flur 10, Flurstück 107/0";"15082430";"52,028643";"12,185506";"";"";"WP Straguth";"71";"58";"Gamesa Corporación Tecnológica S.A.";"G58";"";"";"Horizontalläufer";"Windkraft an Land";"17.3.2021";"";"";"Windpark Straguth GmbH & Co. KG";"ABR901211470913";"Volleinspeisung";"SGE950524304095";"Avacon Netz GmbH (SNB990362338043)";"SNB990362338043";"Geprüft";"Umspannebene Hochspannung/Mittelspannung";"SEL964709222005";"EEG952577845914";"E418780200000E0000000004877300020";"27.1.2006";"";"";"";"";"";""
"SEE993301483170";"S2 Siebenhausen 2";"In Betrieb";"Wind";"2000";"2000";"30.5.2005";"27.4.2020";"Sachsen-Anhalt";"06766";"Bitterfeld-Wolfen";"";"";"Bobbau";"Flur 1 Flurstück 7/2";"15082015";"51,696347";"12,238871";"";"";"WO Wolfen";"100";"80";"DeWind GmbH";"DeWind D8/80/2000";"";"";"Horizontalläufer";"Windkraft an Land";"4.6.2020";"";"";"ENERTRAG Windfeld Bobbau II GmbH & Co. KG";"ABR908137139313";"Volleinspeisung";"SGE967899417633";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Mittelspannung";"SEL955988412027";"EEG988233897843";"E41081010000000000000000000004410";"30.5.2005";"";"";"";"";"";""
"SEE938845954120";"WOE_15 18366";"In Betrieb";"Wind";"1650";"1650";"17.2.2004";"6.9.2020";"Sachsen-Anhalt";"06369";"Görzig";"";"";"Wörbzig";"Flur 4: Flurstück 1009";"15082377";"51,70278";"11,91591";"";"";"Voltwerk Windpark Wörbzig GmbH & Co. KG";"67";"66";"Vestas Deutschland GmbH";"V66";"";"";"Horizontalläufer";"Windkraft an Land";"4.11.2020";"";"";"Voltwerk Windpark Wörbzig GmbH & Co. KG";"ABR982539478249";"Teileinspeisung";"SGE985816468629";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Hochspannung";"SEL932178676513";"EEG929837809887";"E41081010000000000000000000005008";"17.2.2004";"";"";"";"";"";""
"SEE954258830561";"E 78299-03";"In Betrieb";"Wind";"2300";"2300";"26.1.2006";"2.4.2020";"Sachsen-Anhalt";"06386";"Quellendorf";"";"";"Libbesdorf";"Flur 1 Flurstück 159";"15082377";"51,76";"12,14";"";"";"WP Köthen";"113";"71";"ENERCON GmbH";"Enercon E-70 E4";"";"";"Horizontalläufer";"Windkraft an Land";"12.4.2021";"";"";"Windpark Köthen GmbH & Co. KG Renditefonds";"ABR904572386534";"Volleinspeisung";"SGE913974162264";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL911448510351";"EEG930953664502";"E41081010000000000000000000013912";"26.1.2006";"";"";"";"";"";""
"SEE903639481502";"16836";"In Betrieb";"Wind";"850";"850";"18.12.2003";"1.10.2020";"Sachsen-Anhalt";"06369";"Weißandt-Gölzau";"";"";"Weißandt";"Flur 3: Flurstück 79";"15082377";"51";"12";"";"";"Weissandt-Gölzau KG";"74";"52";"Vestas Deutschland GmbH";"V52 - 850 kW";"";"";"Horizontalläufer";"Windkraft an Land";"15.10.2020";"";"";"Weissandt-Gölzau GmbH & Co. KG";"ABR952825515224";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Mittelspannung";"SEL935366780030";"EEG923380256143";"E41081010000000000000000000013342";"18.12.2003";"";"";"";"";"";""
"SEE913528676209";"S4 Siebenhausen 4";"In Betrieb";"Wind";"2000";"2000";"10.6.2005";"28.4.2020";"Sachsen-Anhalt";"06766";"Bitterfeld-Wolfen";"";"";"Bobbau";"Flur 1 Flurstück 73";"15082015";"51,697734";"12,244101";"";"";"WO Wolfen";"100";"80";"DeWind GmbH";"DeWind D8/80/2000";"";"";"Horizontalläufer";"Windkraft an Land";"4.6.2020";"";"";"ENERTRAG Windfeld Bobbau II GmbH & Co. KG";"ABR908137139313";"Volleinspeisung";"SGE967899417633";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Mittelspannung";"SEL936081059890";"EEG992513229552";"E41081010000000000000000000004406";"10.6.2005";"";"";"";"";"";""
"SEE979168794031";"WEA10";"In Betrieb";"Wind";"2200";"2200";"15.8.2012";"10.11.2020";"Sachsen-Anhalt";"06420";"Könnern";"";"";"Neutz-Lettewitz";"Flur 1, Flurstück 17/2";"15082377";"51,616844";"11,834892";"";"";"Neutz";"103";"928";"eno energy GmbH";"eno 92/2200";"";"";"Horizontalläufer";"Windkraft an Land";"12.4.2021";"";"";"Windpark Neutz";"ABR964113303512";"Volleinspeisung";"SGE932559235896";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Mittelspannung";"SEL956872602357";"EEG931837258046";"E41081010000000000000000000172698";"15.8.2012";"";"";"";"";"";""
"SEE928794080087";"B1 Brehna 1";"In Betrieb";"Wind";"1500";"1500";"23.4.2003";"14.4.2020";"Sachsen-Anhalt";"06796";"Brehna";"";"";"Brehna";"Flur 6 Flurstück 67";"15082340";"51,576308";"12,224069";"";"";"F3 Freiheit III";"90";"77";"Nordex Energy GmbH";"Südwind S77/77/1500";"";"";"Horizontalläufer";"Windkraft an Land";"25.5.2021";"";"";"ENERTRAG Windfeld Freiheit III Brehna GmbH & Co. KG";"ABR964313851271";"Volleinspeisung";"SGE966906445287";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL913825621490";"EEG915006518285";"E41081010000000000000000000005095";"23.4.2003";"";"";"";"";"";""
"SEE955375561017";"B4 Brehna 4";"In Betrieb";"Wind";"2000";"2000";"30.12.2004";"4.5.2020";"Sachsen-Anhalt";"06796";"Brehna";"";"";"Brehna";"Flur 6 Flurstück 67";"15082340";"51,571383";"12,228122";"";"";"F3 Freiheit III";"100";"80";"DeWind GmbH";"DeWind D8/80/2000";"";"";"Horizontalläufer";"Windkraft an Land";"4.5.2020";"";"";"ENERTRAG Windfeld Freiheit III Roitzsch GmbH & Co. KG";"ABR934327682505";"Volleinspeisung";"SGE937211285950";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Mittelspannung";"SEL953869204006";"EEG981024353696";"E41081010000000000000000000005099";"30.12.2004";"";"";"";"";"";""
"SEE925107151755";"S6 Siebenhausen 6";"In Betrieb";"Wind";"2000";"2000";"27.6.2005";"28.4.2020";"Sachsen-Anhalt";"06766";"Bitterfeld-Wolfen";"";"";"Bobbau";"Flur 1 Flurstück 21/3";"15082015";"51,698196";"12,249387";"";"";"WO Wolfen";"100";"80";"DeWind GmbH";"DeWind D8/80/2000";"";"";"Horizontalläufer";"Windkraft an Land";"4.6.2020";"";"";"ENERTRAG Windfeld Bobbau II GmbH & Co. KG";"ABR908137139313";"Volleinspeisung";"SGE967899417633";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Hochspannung";"SEL972435757678";"EEG969586313211";"E41081010000000000000000000004400";"27.6.2005";"";"";"";"";"";""
