"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Bundesland";"Postleitzahl";"Ort";"Straße";"Hausnummer";"Gemarkung";"Flurstück";"Gemeindeschlüssel";"Koordinate: Breitengrad (WGS84)";"Koordinate: Längengrad (WGS84)";"Anzahl der Solar-Module";"Hauptausrichtung der Solar-Module";"Name des Windparks";"Nabenhöhe der Windenergieanlage";"Rotordurchmesser der Windenergieanlage";"Hersteller der Windenergieanlage";"Typenbezeichnung";"Hauptbrennstoff der Einheit";"Nutzbare Speicherkapazität in kWh";"Technologie der Stromerzeugung";"Lage der Einheit";"Letzte Aktualisierung";"Datum der endgültigen Stilllegung";"Datum der geplanten Inbetriebnahme";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Volleinspeisung oder Teileinspeisung";"MaStR-Nr. der Genehmigung";"Name des Anschluss-Netzbetreibers";"MaStR-Nr. des Anschluss-Netzbetreibers";"Netzbetreiberprüfung";"Spannungsebene";"MaStR-Nr. der Lokation";"MaStR-Nr. der EEG-Anlage";"EEG-Anlagenschlüssel";"Inbetriebnahmedatum der EEG-Anlage";"Zuschlagnummer (EEG/KWK-Ausschreibung)";"MaStR-Nr. der KWK-Anlage";"Inbetriebnahmedatum der KWK-Anlage";"Elektrische KWK-Leistung";"Thermische Nutzleistung in kW";"MaStR-Nr. der zugeordneten Migrationseinheit"
"SEE918681695685";"B3 Bobbau 3";"In Betrieb";"Wind";"1500";"1500";"13.3.2002";"27.4.2020";"Sachsen-Anhalt";"06766";"Bitterfeld-Wolfen";"";"";"Bobbau";"Flur 6 Flurstück 780";"15082015";"51,70164";"12,219534";"";"";"WO Wolfen";"96";"77";"General Electric Deutschland Holding GmbH";"GE 1.5sl/77/1500";"";"";"Horizontalläufer";"Windkraft an Land";"3.6.2021";"";"";"ENERTRAG Windfeld Bobbau GmbH & Co. KG";"ABR916526146781";"Volleinspeisung";"SGE947736845690";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Mittelspannung";"SEL965888043351";"EEG986312375374";"E41081010000000000000000000004681";"13.3.2002";"";"";"";"";"";""
"SEE967992831077";"AN 1300-709-09";"In Betrieb";"Wind";"1300";"1300";"1.5.2002";"15.9.2020";"Sachsen-Anhalt";"06369";"Trebbichau";"";"";"Trebbichau / Fuhne";"Flur: 2, Flurstück: 	15";"15082377";"51,659158";"11,963934";"";"";"WP Trebbichau";"68";"62";"Siemens Wind Power GmbH & Co. KG";"AN 1.3MW/62 h WTC";"";"";"Horizontalläufer";"Windkraft an Land";"7.5.2021";"";"";"Windpark Trebbichau GmbH & Co. KG Renditefonds";"ABR913589203949";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Umspannebene Hochspannung/Mittelspannung";"SEL974245337910";"EEG901766828054";"E41081010000000000000000000004341";"1.5.2002";"";"";"";"";"";""
"SEE923214168932";"WEA Schortewitz 15532367";"In Betrieb";"Wind";"1500";"1500";"28.12.2006";"20.7.2020";"Sachsen-Anhalt";"06780";"Zörbig";"";"";"Zörbig";"3, FST 103";"15082340";"51,659258";"12,046928";"";"";"WP Schortewitz";"80";"77";"GE Wind Energy GmbH";"GE 1.5sl";"";"";"Horizontalläufer";"Windkraft an Land";"28.4.2021";"";"";"Breeze Three Energy GmbH & Co. KG";"ABR976392029328";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL990110697095";"EEG964977179711";"E41081010000000000000000000015920";"28.12.2006";"";"";"";"";"";""
"SEE946499596320";"15759";"In Betrieb";"Wind";"1500";"1500";"20.2.2002";"4.12.2020";"Sachsen-Anhalt";"06386";"Osternienburger Land";"";"";"Osternienburger Land";"Flur 3: Flurstück 23 / 6";"15082256";"51,834718";"11,869449";"";"";"Windpark Dornbock";"65";"705";"Enron Wind GmbH";"Enron Wind 1.5 s";"";"";"Horizontalläufer";"Windkraft an Land";"26.2.2021";"";"";"EOS WP Pobzig GmbH & Co. KG";"ABR945577336469";"Volleinspeisung";"SGE937112966774";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL948573689010";"EEG914031373678";"E41081010000000000000000000005254";"20.2.2002";"";"";"";"";"";""
"SEE920389111091";"B4 Bobbau 4";"In Betrieb";"Wind";"1500";"1500";"19.3.2002";"27.4.2020";"Sachsen-Anhalt";"06766";"Bitterfeld-Wolfen";"";"";"Bobbau";"Flur 6 Flurstück 781";"15082015";"51,702685";"12,223489";"";"";"WO Wolfen";"96";"77";"General Electric Deutschland Holding GmbH";"GE 1.5sl/77/1500";"";"";"Horizontalläufer";"Windkraft an Land";"3.5.2021";"";"";"ENERTRAG Windfeld Bobbau GmbH & Co. KG";"ABR916526146781";"Volleinspeisung";"SGE947736845690";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Mittelspannung";"SEL978148994140";"EEG951319205870";"E41081010000000000000000000004682";"19.3.2002";"";"";"";"";"";""
"SEE928603962535";"15810";"In Betrieb";"Wind";"1500";"1500";"26.6.2002";"8.12.2020";"Sachsen-Anhalt";"06386";"Osternienburger Land";"";"";"Kleinpaschleben";"Flur 2: Flurstück 49 / 1";"15082256";"51,802395";"11,890721";"";"";"Windpark Kleinpaschleben";"65";"705";"Enron Wind GmbH";"Enron Wind 1.5 s";"";"";"Horizontalläufer";"Windkraft an Land";"17.4.2021";"";"";"EOS WP Pobzig GmbH & Co. KG";"ABR968242971130";"Volleinspeisung";"SGE954369089452";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL948573689010";"EEG907646859996";"E41081010000000000000000000005242";"26.6.2002";"";"";"";"";"";""
"SEE911608040735";"821012";"In Betrieb";"Wind";"2050";"2050";"30.1.2014";"3.7.2020";"Sachsen-Anhalt";"39261";"Zerbst";"";"";"Zerbst";"Flur 17:34";"15082430";"51,591592";"12,7699";"";"";"Zerbst";"80";"824";"eno energy GmbH";"PV";"";"";"Horizontalläufer";"Windkraft an Land";"3.7.2020";"";"";"Better Energy Zerbst";"ABR919733297932";"Volleinspeisung";"SGE931084178029";"Avacon Netz GmbH (SNB990362338043)";"SNB990362338043";"In Prüfung";"Mittelspannung";"SEL979602938441";"EEG970911889202";"E4187802EA03000000000055574200001";"30.1.2014";"";"";"";"";"";""
"SEE982827048772";"15817";"In Betrieb";"Wind";"1500";"1500";"11.7.2002";"8.12.2020";"Sachsen-Anhalt";"06386";"Osternienburger Land";"";"";"Kleinpaschleben";"Flur 1: Flurstück 24";"15082256";"51,802597";"11,874947";"";"";"Windpark Kleinpaschleben";"65";"705";"Enron Wind GmbH";"Enron Wind 1.5 s";"";"";"Horizontalläufer";"Windkraft an Land";"17.4.2021";"";"";"EOS WP Pobzig GmbH & Co. KG";"ABR968242971130";"Volleinspeisung";"SGE954369089452";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL948573689010";"EEG980991567235";"E41081010000000000000000000004934";"11.7.2002";"";"";"";"";"";""
"SEE912446039905";"G 8372-03";"In Betrieb";"Wind";"850";"850";"10.2.2006";"28.4.2020";"Sachsen-Anhalt";"39264";"Straguth";"";"";"Straguth";"Flur 9, Flurstück 191/0";"15082430";"52,026251";"12,173338";"";"";"WP Straguth";"71";"58";"Gamesa Corporación Tecnológica S.A.";"G58";"";"";"Horizontalläufer";"Windkraft an Land";"17.3.2021";"";"";"Windpark Straguth GmbH & Co. KG";"ABR901211470913";"Volleinspeisung";"SGE950524304095";"Avacon Netz GmbH (SNB990362338043)";"SNB990362338043";"Geprüft";"Umspannebene Hochspannung/Mittelspannung";"SEL964709222005";"EEG925739932852";"E418780200000E0000000004877300030";"10.2.2006";"";"";"";"";"";""
"SEE912813134547";"AN 1300-692-04";"In Betrieb";"Wind";"1300";"1300";"7.5.2002";"15.9.2020";"Sachsen-Anhalt";"06369";"Trebbichau";"";"";"Trebbichau";"Flur: 2, Flurstück: 	3";"15082377";"51,6644";"11,956097";"";"";"WP Trebbichau";"68";"62";"Siemens Wind Power GmbH & Co. KG";"AN Bonus 1,3MW/66";"";"";"Horizontalläufer";"Windkraft an Land";"7.5.2021";"";"";"Windpark Trebbichau GmbH & Co. KG Renditefonds";"ABR913589203949";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Umspannebene Hochspannung/Mittelspannung";"SEL993760220835";"EEG931102907495";"E41081010000000000000000000004348";"7.5.2002";"";"";"";"";"";""
"SEE994275524388";"AN 1300-721-10";"In Betrieb";"Wind";"1300";"1300";"1.5.2002";"15.9.2020";"Sachsen-Anhalt";"06369";"Trebbichau";"";"";"Trebbichau / Fuhne";"Flur: 2. Flurstück: 	15";"15082377";"51,656346";"11,964676";"";"";"WP Trebbichau";"68";"62";"Siemens Wind Power GmbH & Co. KG";"AN 1.3MW/62 h WTC";"";"";"Horizontalläufer";"Windkraft an Land";"7.5.2021";"";"";"Windpark Trebbichau GmbH & Co. KG Renditefonds";"ABR913589203949";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Umspannebene Hochspannung/Mittelspannung";"SEL950308586723";"EEG930847508578";"E41081010000000000000000000004342";"1.5.2002";"";"";"";"";"";""
"SEE946460142006";"15760";"In Betrieb";"Wind";"1500";"1500";"21.2.2002";"4.12.2020";"Sachsen-Anhalt";"06386";"Osternienburger Land";"";"";"Osternienburger Land";"Flur 3: Flurstück 23 / 11";"15082256";"51,83305";"11,865887";"";"";"Windpark Dornbock";"65";"705";"Enron Wind GmbH";"Enron Wind 1.5 s";"";"";"Horizontalläufer";"Windkraft an Land";"13.4.2021";"";"";"EOS WP Pobzig GmbH & Co. KG";"ABR945577336469";"Volleinspeisung";"SGE937112966774";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL952837752310";"EEG962819876279";"E41081010000000000000000000005255";"21.2.2002";"";"";"";"";"";""
"SEE919894710806";"821013";"In Betrieb";"Wind";"2050";"2050";"29.1.2014";"3.7.2020";"Sachsen-Anhalt";"39261";"Zerbst";"";"";"Zerbst";"Flur 17:16";"15082430";"51,59846";"12,721";"";"";"Zerbst";"80";"824";"eno energy GmbH";"PV";"";"";"Horizontalläufer";"Windkraft an Land";"3.7.2020";"";"";"Better Energy Zerbst";"ABR919733297932";"Volleinspeisung";"SGE919453501456";"Avacon Netz GmbH (SNB990362338043)";"SNB990362338043";"In Prüfung";"Mittelspannung";"SEL903185506551";"EEG958016793396";"E4187802EA01000000000055574200001";"29.1.2014";"";"";"";"";"";""
"SEE922104963428";"WP Drosa";"In Betrieb";"Wind";"1500";"1500";"14.12.2005";"18.12.2020";"Sachsen-Anhalt";"06386";"Osternienburger Land";"";"";"Drosa";"Flur10: 104";"15082256";"51,821944";"11,875556";"";"";"WP Drosa KG";"65";"70";"GE Wind Energy GmbH";"1,5s";"";"";"Horizontalläufer";"Windkraft an Land";"17.5.2021";"";"";"EOS WP Pobzig GmbH & Co. KG";"ABR965181056027";"Teileinspeisung";"SGE927510485861";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Mittelspannung";"SEL939739854755";"EEG982581863956";"E41081010000000000000000000013558";"14.12.2005";"";"";"";"";"";""
"SEE911125622377";"WEA Schortewitz 15532368";"In Betrieb";"Wind";"1500";"1500";"28.12.2006";"20.7.2020";"Sachsen-Anhalt";"06780";"Zörbig";"";"";"Zörbig";"3, FST 96/2";"15082340";"51,65542";"12,047066";"";"";"WP Schortewitz";"80";"77";"GE Wind Energy GmbH";"GE 1.5sl";"";"";"Horizontalläufer";"Windkraft an Land";"28.4.2021";"";"";"Breeze Three Energy GmbH & Co. KG";"ABR976392029328";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL963139708141";"EEG912099811859";"E41081010000000000000000000014942";"28.12.2006";"";"";"";"";"";""
"SEE927611433242";"15818";"In Betrieb";"Wind";"1500";"1500";"11.7.2002";"8.12.2020";"Sachsen-Anhalt";"06386";"Osternienburger Land";"";"";"Kleinpaschleben";"Flur 1: Flurstück 17";"15082256";"51,8059";"11,876218";"";"";"Windpark Kleinpaschleben";"65";"705";"Enron Wind GmbH";"Enron Wind 1.5 s";"";"";"Horizontalläufer";"Windkraft an Land";"17.4.2021";"";"";"EOS WP Pobzig GmbH & Co. KG";"ABR968242971130";"Volleinspeisung";"SGE954369089452";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL948573689010";"EEG936167009412";"E41081010000000000000000000005241";"11.7.2002";"";"";"";"";"";""
"SEE965863722745";"G 8375-04";"In Betrieb";"Wind";"850";"850";"3.2.2006";"28.4.2020";"Sachsen-Anhalt";"39264";"Straguth";"";"";"Straguth";"Flur 9, Flurstück 187/0";"15082430";"52,028238";"12,180274";"";"";"WP Straguth";"71";"58";"Gamesa Corporación Tecnológica S.A.";"G58";"";"";"Horizontalläufer";"Windkraft an Land";"17.3.2021";"";"";"Windpark Straguth GmbH & Co. KG";"ABR901211470913";"Volleinspeisung";"SGE950524304095";"Avacon Netz GmbH (SNB990362338043)";"SNB990362338043";"Geprüft";"Umspannebene Hochspannung/Mittelspannung";"SEL964709222005";"EEG942548060217";"E418780200000E0000000004877300040";"3.2.2006";"";"";"";"";"";""
"SEE972832594838";"WP Schortewitz 8132";"In Betrieb";"Wind";"2500";"2500";"5.12.2004";"6.10.2020";"Sachsen-Anhalt";"06366";"Köthen";"Dessauer Straße (Köthen)";"";"";"";"15082180";"51,676454";"12,039383";"";"";"WP Schortewitz 8132";"80";"80";"Nordex Energy GmbH";"N-80";"";"";"Horizontalläufer";"Windkraft an Land";"11.6.2021";"";"";"Windpark Anhalt-Süd OHG";"ABR973872434382";"Volleinspeisung";"SGE915069069380";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Mittelspannung";"SEL902616828484";"EEG977615788916";"E41081010000000000000000000005174";"5.12.2004";"";"";"";"";"";""
"SEE984796627972";"WP Schortewitz 8137";"In Betrieb";"Wind";"2500";"2500";"9.12.2004";"7.10.2020";"Sachsen-Anhalt";"06369";"Weißandt-Gölzau";"";"";"Weißandt-Gölzau";"3/1004";"15082377";"51,655246";"12,041894";"";"";"WP Schortewitz 8137";"80";"80";"Nordex Energy GmbH";"N-80";"";"";"Horizontalläufer";"Windkraft an Land";"8.6.2021";"";"";"Windpark Anhalt-Süd OHG";"ABR973872434382";"Volleinspeisung";"SGE969468933391";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL986529350225";"EEG947570011930";"E41081010000000000000000000005604";"9.12.2004";"";"";"";"";"";""
"SEE963108302813";"1054";"In Betrieb";"Wind";"1300";"1300";"25.6.1999";"16.12.2020";"Sachsen-Anhalt";"06780";"Zörbig";"";"";"Zörbig";"Flur 5 Flurstück 98";"15082340";"51,657652";"12,050749";"";"";"Anhalt Süd";"69";"60";"Nordex Energy GmbH";"Nordex N 60";"";"";"Horizontalläufer";"Windkraft an Land";"29.4.2021";"";"";"Windenergie Hemden GmbH";"ABR974972914460";"Teileinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL970308925322";"EEG973777218926";"E41081010000000000000000000004868";"25.6.1999";"";"";"";"";"";""
"SEE971980018937";"WOE_12 18363";"In Betrieb";"Wind";"1650";"1650";"20.1.2004";"6.9.2020";"Sachsen-Anhalt";"06369";"Görzig";"";"";"Wörbzig";"Flur 1: Flurstück 1023";"15082377";"51,71836";"11,90762";"";"";"Voltwerk Windpark Wörbzig GmbH & Co. KG";"67";"66";"Vestas Deutschland GmbH";"V66";"";"";"Horizontalläufer";"Windkraft an Land";"3.11.2020";"";"";"Voltwerk Windpark Wörbzig GmbH & Co. KG";"ABR982539478249";"Teileinspeisung";"SGE985816468629";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Hochspannung";"SEL994731305377";"EEG963802709826";"E41081010000000000000000000005005";"20.1.2004";"";"";"";"";"";""
"SEE966200334829";"1041";"In Betrieb";"Wind";"1300";"1300";"25.6.1999";"16.12.2020";"Sachsen-Anhalt";"06780";"Zörbig";"";"";"Zörbig";"Flur 5 Flurstück 99";"15082340";"51,6607";"12,051318";"";"";"Anhalt Süd";"69";"60";"Nordex Energy GmbH";"Nordex N 60";"";"";"Horizontalläufer";"Windkraft an Land";"29.4.2021";"";"";"Windenergie Hemden GmbH";"ABR974972914460";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL917546537580";"EEG951346837464";"E41081010000000000000000000004869";"25.6.1999";"";"";"";"";"";""
"SEE956801343221";"WOE_16 18367";"In Betrieb";"Wind";"1650";"1650";"28.1.2004";"6.9.2020";"Sachsen-Anhalt";"06369";"Görzig";"";"";"Wörbzig";"Flur 4: Flurstück 1012";"15082377";"51,70312";"11,91096";"";"";"voltwerk Windpark Wörbzig GmbH & Co. KG";"67";"66";"Vestas Deutschland GmbH";"V66";"";"";"Horizontalläufer";"Windkraft an Land";"4.6.2021";"";"";"Voltwerk Windpark Wörbzig GmbH & Co. KG";"ABR982539478249";"Teileinspeisung";"SGE985816468629";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL976155177808";"EEG983321898641";"E41081010000000000000000000005009";"28.1.2004";"";"";"";"";"";""
"SEE914297736170";"WP Sieglitz WEA 01";"In Betrieb";"Wind";"2000";"2000";"26.6.2003";"9.12.2020";"Sachsen-Anhalt";"06420";"Könnern";"";"";"Edlau";"Flur 4: Flurstück 154";"15082377";"51,650891";"11,852183";"";"";"WP Sieglitz";"100";"80";"Vestas Deutschland GmbH";"V80";"";"";"Horizontalläufer";"Windkraft an Land";"26.4.2021";"";"";"Plambeck Neue Energien Windparks Fonds XXII Extertal-Sieglitz GmbH & Co. KG";"ABR900092377625";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL920928631912";"EEG908720423188";"E41081010000000000000000000005093";"26.6.2003";"";"";"";"";"";""
"SEE951320967521";"R0 Roitzsch 0";"In Betrieb";"Wind";"2500";"2500";"29.2.2012";"30.4.2020";"Sachsen-Anhalt";"06809";"Roitzsch";"";"";"Roitzsch";"Flur 1 Flurstück 16/8";"15082340";"51,581467";"12,241631";"";"";"F3 Freiheit III";"140";"998";"Nordex Energy GmbH";"Nordex N100/99.8/2500";"";"";"Horizontalläufer";"Windkraft an Land";"7.6.2021";"";"";"ENERTRAG Windfeld Freiheit III Roitzsch R0 GmbH & Co. KG";"ABR980058971500";"Volleinspeisung";"SGE960758083307";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Mittelspannung";"SEL999604962022";"EEG912411521459";"E41081010000000000000000000162532";"29.2.2012";"";"";"";"";"";""
"SEE920433819492";"WP Schortewitz 8133";"In Betrieb";"Wind";"2500";"2500";"5.12.2004";"6.10.2020";"Sachsen-Anhalt";"06366";"Köthen";"Dessauer Straße (Köthen)";"";"";"";"15082180";"51,672027";"12,051085";"";"";"WP Schortewitz 8133";"80";"80";"Nordex Energy GmbH";"N-80";"";"";"Horizontalläufer";"Windkraft an Land";"18.5.2021";"";"";"Windpark Anhalt-Süd OHG";"ABR973872434382";"Volleinspeisung";"SGE915069069380";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Mittelspannung";"SEL980267997957";"EEG998127042242";"E41081010000000000000000000005600";"5.12.2004";"";"";"";"";"";""
"SEE978810684119";"R1 Roitzsch 1";"In Betrieb";"Wind";"600";"600";"22.4.1999";"9.11.2020";"Sachsen-Anhalt";"06809";"Roitzsch";"";"";"Roitzsch";"Flur 1 Flurstück 121";"15082340";"51,582481";"12,235762";"";"";"F3 Freiheit III";"70";"48";"DeWind GmbH";"DeWind D4-48/48/600";"";"";"Horizontalläufer";"Windkraft an Land";"10.2.2021";"";"";"ENERTRAG Windfeld Freiheit III GmbH & Co. KG";"ABR975203323204";"Volleinspeisung";"SGE969590219240";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL938866841072";"EEG916155495700";"E41081010000000000000000000004385";"22.4.1999";"";"";"";"";"";""
"SEE924057195161";"AN 1300-697-02";"In Betrieb";"Wind";"1300";"1300";"29.4.2002";"15.9.2020";"Sachsen-Anhalt";"06369";"Trebbichau";"";"";"Trebbichau / Fuhne";"Flur: 3, Flurstück: 	156";"15082377";"51,659436";"11,950861";"";"";"WP Trebbichau";"68";"62";"Siemens Wind Power GmbH & Co. KG";"AN Bonus 1,3MW/67";"";"";"Horizontalläufer";"Windkraft an Land";"7.5.2021";"";"";"Windpark Trebbichau GmbH & Co. KG Renditefonds";"ABR913589203949";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Umspannebene Hochspannung/Mittelspannung";"SEL966920302023";"EEG964987246670";"E41081010000000000000000000004349";"29.4.2002";"";"";"";"";"";""
"SEE935983645507";"AN 1300-695-01";"In Betrieb";"Wind";"1300";"1300";"7.5.2002";"15.9.2020";"Sachsen-Anhalt";"06369";"Trebbichau";"";"";"Trebbichau / Fuhne";"Flur: 3, Flurstück: 	192";"15082377";"51,665476";"11,950163";"";"";"WP Trebbichau";"68";"62";"Siemens Wind Power GmbH & Co. KG";"AN Bonus 1,3MW/68";"";"";"Horizontalläufer";"Windkraft an Land";"7.5.2021";"";"";"Windpark Trebbichau GmbH & Co. KG Renditefonds";"ABR913589203949";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Umspannebene Hochspannung/Mittelspannung";"SEL968197004358";"EEG904078723444";"E41081010000000000000000000004350";"7.5.2002";"";"";"";"";"";""
"SEE908692604011";"GLE4";"In Betrieb";"Wind";"850";"850";"20.12.2001";"3.6.2020";"Sachsen-Anhalt";"06794";"Glebitzsch";"";"";"Glebitzsch";"5: 42";"15082340";"51,58073";"12,1869";"";"";"Glebitzsch";"74";"52";"Vestas Deutschland GmbH";"V52";"";"";"Horizontalläufer";"Windkraft an Land";"25.5.2021";"";"";"Atlas Energieanlagen GmbH & Co. Dritte KG";"ABR943982765218";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Mittelspannung";"SEL911366548498";"EEG905811251682";"E41081010000000000000000000005046";"20.12.2001";"";"";"";"";"";""
"SEE961747455037";"GLE2";"In Betrieb";"Wind";"660";"660";"29.6.1999";"3.6.2020";"Sachsen-Anhalt";"06794";"Glebitzsch";"";"";"Glebitzsch";"6: 60";"15082340";"51,58366";"12,18636";"";"";"Glebitzsch";"65";"47";"Vestas Deutschland GmbH";"";"";"";"Horizontalläufer";"Windkraft an Land";"9.2.2021";"";"";"Atlas Energieanlagen GmbH & Co. Dritte KG";"ABR943982765218";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL910221594953";"EEG992709161642";"E41081010000000000000000000005020";"29.6.1999";"";"";"";"";"";""
"SEE906660332454";"213780";"In Betrieb";"Wind";"3300";"3300";"29.11.2016";"20.11.2020";"Sachsen-Anhalt";"06369";"Weißandt-Gölzau";"";"";"Weißandt-Gölzau";"Flur 1: Flurstück 133";"15082377";"51,681806";"12,044";"";"";"Weißandt-Gölzau Wind GmbH & Co. KG";"137";"126";"Vestas Deutschland GmbH";"V 126 - 3.3";"";"";"Horizontalläufer";"Windkraft an Land";"6.4.2021";"";"";"Weißandt-Gölzau Wind GmbH & Co. KG";"ABR973548615237";"Volleinspeisung";"SGE973694667838";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL933939548148";"EEG927385233383";"E41081010000000000000000000228689";"29.11.2016";"";"";"";"";"";""
"SEE960165742118";"R3 Roitzsch 3";"In Betrieb";"Wind";"600";"600";"20.4.1999";"9.11.2020";"Sachsen-Anhalt";"06809";"Roitzsch";"";"";"Roitzsch";"Flur 1 Flurstück 125";"15082340";"51,579325";"12,23848";"";"";"F3 Freiheit III";"70";"48";"DeWind GmbH";"DeWind D4-48/48/600";"";"";"Horizontalläufer";"Windkraft an Land";"17.5.2021";"";"";"ENERTRAG Windfeld Freiheit III GmbH & Co. KG";"ABR975203323204";"Volleinspeisung";"SGE960016883274";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Mittelspannung";"SEL933493996980";"EEG963752505943";"E41081010000000000000000000004383";"20.4.1999";"";"";"";"";"";""
"SEE991952965564";"WP Wolfen / Thalheim - WEA 2 - A";"In Betrieb";"Wind";"600";"600";"3.12.2003";"18.12.2020";"Sachsen-Anhalt";"06766";"Bitterfeld-Wolfen";"Reudener Straße";"";"";"";"15082015";"51,648423";"12,208308";"";"";"WP Wolfen / Thalheim";"65";"44";"ENERCON GmbH";"E40 6.44";"";"";"Horizontalläufer";"Windkraft an Land";"18.12.2020";"";"";"cp.max GmbH & Co. Windräder Wolfen / Thalheim KG";"ABR946419588121";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Mittelspannung";"SEL962022944420";"EEG935024466573";"";"3.12.2003";"";"";"";"";"";""
"SEE998450902954";"16835";"In Betrieb";"Wind";"850";"850";"18.12.2003";"1.10.2020";"Sachsen-Anhalt";"06369";"Weißandt-Gölzau";"";"";"Weißandt";"Flur 3: Flurstück 79";"15082377";"51";"12";"";"";"Weissandt-Gölzau KG";"74";"52";"Vestas Deutschland GmbH";"V52 - 850 kW";"";"";"Horizontalläufer";"Windkraft an Land";"15.10.2020";"";"";"Weissandt-Gölzau GmbH & Co. KG";"ABR952825515224";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Mittelspannung";"SEL937821619947";"EEG954657910031";"E41081010000000000000000000013344";"18.12.2003";"";"";"";"";"";""
