Time,KEQ0724176:4_13
 12.03.21 19:00:00,19.935
 13.03.21 01:00:00,19.095
 13.03.21 07:00:00,17.483
 13.03.21 13:00:00,18.67
 13.03.21 19:00:00,19.675
 14.03.21 01:00:00,20.03
 14.03.21 07:00:00,17.935
 14.03.21 13:00:00,18.997
 14.03.21 19:00:00,19.186
 15.03.21 01:00:00,19.5
 15.03.21 07:00:00,18.459
 15.03.21 13:00:00,20.427
 15.03.21 19:00:00,20.509
 16.03.21 01:00:00,19.894
 16.03.21 07:00:00,18.646
 16.03.21 13:00:00,20.501
 16.03.21 19:00:00,20.7
 17.03.21 01:00:00,19.928
 17.03.21 07:00:00,18.853
 17.03.21 13:00:00,20.629
 17.03.21 19:00:00,20.638
 18.03.21 01:00:00,20.017
 18.03.21 07:00:00,18.977
 18.03.21 13:00:00,20.665
 18.03.21 19:00:00,20.692
 19.03.21 01:00:00,19.858
 19.03.21 07:00:00,18.965
 19.03.21 13:00:00,20.67
 19.03.21 19:00:00,20.694
 20.03.21 01:00:00,20.106
 20.03.21 07:00:00,18.304
 20.03.21 13:00:00,20.157
 20.03.21 19:00:00,20.661
 21.03.21 01:00:00,20.215
 21.03.21 07:00:00,17.971
 21.03.21 13:00:00,19.524
 21.03.21 19:00:00,20.642
 22.03.21 01:00:00,20.201
 22.03.21 07:00:00,18.956
 22.03.21 13:00:00,20.472
 22.03.21 19:00:00,20.443
 23.03.21 01:00:00,20.026
 23.03.21 07:00:00,18.898
 23.03.21 13:00:00,20.573
 23.03.21 19:00:00,20.691
 24.03.21 01:00:00,19.992
 24.03.21 07:00:00,18.935
 24.03.21 13:00:00,20.181
 24.03.21 19:00:00,19.593
 25.03.21 01:00:00,19.39
 25.03.21 07:00:00,18.716
 25.03.21 13:00:00,19.472
 25.03.21 19:00:00,19.344
 26.03.21 01:00:00,19.608
 26.03.21 07:00:00,18.706
 26.03.21 13:00:00,20.217
 26.03.21 19:00:00,20.619
 27.03.21 01:00:00,20.156
 27.03.21 07:00:00,18.642
 27.03.21 13:00:00,19.371
 27.03.21 19:00:00,20.985
 28.03.21 01:00:00,20.372
 28.03.21 08:00:00,18.802
 28.03.21 14:00:00,20.66
 28.03.21 20:00:00,20.676
 29.03.21 02:00:00,20.119
 29.03.21 08:00:00,19.868
 29.03.21 14:00:00,20.624
 29.03.21 20:00:00,20.627
 30.03.21 02:00:00,20.039
 30.03.21 08:00:00,19.945
 30.03.21 14:00:00,20.49
 30.03.21 20:00:00,20.126
 31.03.21 02:00:00,19.327
 31.03.21 08:00:00,18.794
 31.03.21 14:00:00,18.603
 31.03.21 20:00:00,18.972
 01.04.21 02:00:00,18.834
 01.04.21 08:00:00,18.458
 01.04.21 14:00:00,18.323
 01.04.21 20:00:00,19.758
 02.04.21 02:00:00,19.672
 02.04.21 08:00:00,19.712
 02.04.21 14:00:00,20.134
 02.04.21 20:00:00,20.358
 03.04.21 02:00:00,19.849
 03.04.21 08:00:00,18.495
 03.04.21 14:00:00,20.639
 03.04.21 20:00:00,20.716
 04.04.21 02:00:00,20.148
 04.04.21 08:00:00,18.606
 04.04.21 14:00:00,20.656
 04.04.21 20:00:00,20.736
 05.04.21 02:00:00,20.021
 05.04.21 08:00:00,19.735
 05.04.21 14:00:00,20.211
 05.04.21 20:00:00,20.211
 06.04.21 02:00:00,19.346
 06.04.21 08:00:00,19.382
 06.04.21 14:00:00,20.708
 06.04.21 20:00:00,20.704
 07.04.21 02:00:00,19.42
 07.04.21 08:00:00,19.373
 07.04.21 14:00:00,20.342
